Location,Technology       ,Tweet                                                                                                                                                                                                                                                                                                                                                                ,Sentiment_Score
CA      ,iot              ,RT @gp_pulipaka: #DeepLearning Frameworks in #HPC Environments: Join Me Next Monday with the Talented Pool of #DataScientists #Speakers Aro\u2026                                                                                                                                                                                                                    ,0
CA      ,iot              ,RT @awscloud: Espressif Systems\u2019 ESP32 now qualified for Amazon FreeRTOS! You can download the code on GitHub. https://t.co/6OlNRHqQb0 http\u2026                                                                                                                                                                                                               ,1
CA      ,iot              ,RT @SecurityTube: Bootloader Attacks on IoT Devices: The Basics https://t.co/qGe09jwvj6 https://t.co/MlEZ0qtjUi                                                                                                                                                                                                                                                      ,0
CA      ,iot              ,RT @BotAutomation: RT @fintech_paige: #IoT market is growing\n\n#tech #technology #Data #Analytics #DataScience #AI #Infographic #ML #Machine\u2026                                                                                                                                                                                                                  ,0
CA      ,iot              ,"RT @MikeQuindazzi: Cafe X develops $25,000 #robotic barista - pouring 120 cups of coffee per hour @MikeQuindazzi #AI #Robots #Robotics #IoT\u2026                                                                                                                                                                                                                  ",0
CA      ,iot              ,"RT @MalaAnand_: Yesterday during the keynote at #IoTWorld, I talked about how #IoT is a key enabler of digital transformation and is part o\u2026                                                                                                                                                                                                                  ",0
CA      ,iot              ,"RT @MikeQuindazzi: Cafe X develops $25,000 #robotic barista - pouring 120 cups of coffee per hour @MikeQuindazzi #AI #Robots #Robotics #IoT\u2026                                                                                                                                                                                                                  ",0
CA      ,iot              ,RT @MikeQuindazzi: What happens in an #Internet minute in 2018? - 481k #tweets sent! &gt;&gt; @Visualcap via @MikeQuindazzi &gt;&gt; #SocialMedia #Fint\u2026                                                                                                                                                                                                        ,0
CA      ,iot              ,"RT @MikeQuindazzi: Cafe X develops $25,000 #robotic barista - pouring 120 cups of coffee per hour @MikeQuindazzi #AI #Robots #Robotics #IoT\u2026                                                                                                                                                                                                                  ",0
CA      ,iot              ,"RT @MikeQuindazzi: Cafe X develops $25,000 #robotic barista - pouring 120 cups of coffee per hour @MikeQuindazzi #AI #Robots #Robotics #IoT\u2026                                                                                                                                                                                                                  ",0
CA      ,iot              ,RT @MicrosoftIoT: Find out how #IoT is strategically improving your city's infrastructure. Learn more: https://t.co/YHHqpk7YmG https://t.co\u2026                                                                                                                                                                                                                    ,0
CA      ,iot              ,RT @PavoIoT: So long #Consensus2018! See you next year! #ICO #AgTech #Blockchain #IoT https://t.co/GxyjkbeC8w                                                                                                                                                                                                                                                        ,1
CA      ,iot              ,"RT @MikeFeibus: 802.11ax #WiFi standard is not about the number on the box. It's about capacity and efficiency, @Qualcomm's Shravan Surinen\u2026                                                                                                                                                                                                                  ",0
CA      ,iot              ,"RT @MikeQuindazzi: 54 different #ElectricVehicles! including 25 #battery electric (#ev), 26 plug-in #hybrids (#phev) and 3 #fuelcell vehicl\u2026                                                                                                                                                                                                                  ",0
CA      ,iot              ,"RT @MikeFeibus: 802.11ax #WiFi standard is not about the number on the box. It's about capacity and efficiency, @Qualcomm's Shravan Surinen\u2026                                                                                                                                                                                                                  ",0
CA      ,iot              ,"RT @obloch: In case you couldn't attend #MSBuild last week, here is a tour of the #IoT booth with the #ch9IoTShow. My favorite is the #Azur\u2026                                                                                                                                                                                                                  ",0
CA      ,iot              ,"RT @MikeFeibus: 802.11ax #WiFi standard is not about the number on the box. It's about capacity and efficiency, @Qualcomm's Shravan Surinen\u2026                                                                                                                                                                                                                  ",1
CA      ,iot              ,RT @AI_RT_100: How is #ArtificialIntelligence changing business? [Infographic] #DeepLearning #IoT #IIoT #IoE #NLP #MachineLearning #DataSci\u2026                                                                                                                                                                                                                    ,0
CA      ,iot              ,RT @PavoIoT: Stop by the @thecryptovalley kiosk at #Consensus2018 and speak with the Pavo team! #AgTech #ICO #Blockchain #IoT https://t.co/\u2026                                                                                                                                                                                                                    ,0
CA      ,iot              ,"RT @glutoken: Day 2 at #IoTworld. Goals: Reconnect with existing vendors and find new,  exciting technology and vendors to partner with and\u2026                                                                                                                                                                                                                  ",0
CA      ,iot              ,RT @KR_MachineLearn: Yanni knows the only right answer to the Yanny-Laurel debate - CNET: #BigData #MachineLearning #AI #IoT MT https://t.c\u2026                                                                                                                                                                                                                    ,1
CA      ,iot              ,RT @gp_pulipaka: Managing Storage for IoT Data at the Enterprise Edge. #BigData #MachineLearning #DataScience #AI #IoT #Cloud #CloudComputi\u2026                                                                                                                                                                                                                    ,1
CA      ,iot              ,RT @MikeQuindazzi: #China leveraging #automation and #robotics to replace millions of #workers with #machines @MikeQuindazzi #ai #robotics\u2026                                                                                                                                                                                                                     ,0
CA      ,iot              ,"RT @MikeQuindazzi: Cafe X develops $25,000 #robotic barista - pouring 120 cups of coffee per hour @MikeQuindazzi #AI #Robots #Robotics #IoT\u2026                                                                                                                                                                                                                  ",0
CA      ,iot              ,"RT @Emma_Wearables: Samsung Galaxy Note 9 release date, price, news and leaks: #BigData #MachineLearning #AI #IoT MT @mikequindazzi https:/\u2026                                                                                                                                                                                                                  ",0
CA      ,iot              ,The latest Enterprise IoT Tech Trends Daily! https://t.co/wHuLQmBPVO #iot #internetofthings                                                                                                                                                                                                                                                                          ,0
CA      ,iot              ,"RT @MikeFeibus: 802.11ax #WiFi standard is not about the number on the box. It's about capacity and efficiency, @Qualcomm's Shravan Surinen\u2026                                                                                                                                                                                                                  ",1
CA      ,iot              ,RT @MikeQuindazzi: The #WearableTech Xenxo Smart Ring provides #bluetooth connectivity to your #smartphone to make a call or #virtualassist\u2026                                                                                                                                                                                                                    ,0
CA      ,iot              ,RT @wolfSSL: @wolfSSL shout out to @codegirlclub! We enjoyed meeting you and learning about how you are inspiring kids to code! #IoTWorld #\u2026                                                                                                                                                                                                                    ,1
CA      ,iot              ,RT @Digital_Hudson: Everything you need to know about the new Google News app: #BigData #MachineLearning #AI #IoT Cc @worldtrendsinfo https\u2026                                                                                                                                                                                                                    ,1
CA      ,iot              ,"RT @MikeQuindazzi: 54 different #ElectricVehicles! including 25 #battery electric (#ev), 26 plug-in #hybrids (#phev) and 3 #fuelcell vehicl\u2026                                                                                                                                                                                                                  ",1
CA      ,iot              ,RT @MikeQuindazzi: Using Simulation and Domain Adaptation to Improve Efficiency of Deep #Robotic Grasping &gt;&gt; @Google via @MikeQuindazzi &gt;&gt;\u2026                                                                                                                                                                                                         ,0
CA      ,iot              ,RT @MikeQuindazzi: Using Simulation and Domain Adaptation to Improve Efficiency of Deep #Robotic Grasping &gt;&gt; @Google via @MikeQuindazzi &gt;&gt;\u2026                                                                                                                                                                                                         ,0
CA      ,iot              ,RT @IOT_Recruiting: 10 of the best cheap fitness trackers in India: Top affordable sports bands: #BigData #MachineLearning #AI #IoT HT @mot\u2026                                                                                                                                                                                                                    ,0
CA      ,iot              ,RT @straczynski: Sonuvagun...all five seasons of Babylon 5 will begin streaming on Amazon Prime next month.  At last it's someplace where p\u2026                                                                                                                                                                                                                    ,1
CA      ,iot              ,RT @MikeQuindazzi: The #telephone took 76 years to reach 1/2 the homes; #smartphones less than 10 [Infographic] @mikequindazzi #pwc #digita\u2026                                                                                                                                                                                                                    ,0
CA      ,iot              ,RT @BeyondTrust: IT pros worry about #IoT but not prepared to secure it. @darkreading @kg4gwa  #infosec #IoTSecurity https://t.co/NsK1b4XjT\u2026                                                                                                                                                                                                                    ,0
CA      ,iot              ,RT @awscloud: Espressif Systems\u2019 ESP32 now qualified for Amazon FreeRTOS! You can download the code on GitHub. https://t.co/6OlNRHqQb0 http\u2026                                                                                                                                                                                                               ,1
CA      ,iot              ,RT @marc_smith: #cloudcomputing via NodeXL https://t.co/VV2oocgPa0\n@algorithmic_ef\n@mikequindazzi\n@cloud_ser\n@gp_pulipaka\n@friendupcloud\n@a\u2026                                                                                                                                                                                                              ,0
CA      ,iot              ,"RT @IOT_Recruiting: Feast your eyes on the iPhone X Tesla, a case so crazy it comes with its own phone - CNET: #machinelearning #ai #iot HT\u2026                                                                                                                                                                                                                  ",0
CA      ,iot              ,"RT @glutoken: Day 2 at #IoTworld. Goals: Reconnect with existing vendors and find new,  exciting technology and vendors to partner with and\u2026                                                                                                                                                                                                                  ",0
CA      ,iot              ,"RT @MikeQuindazzi: 16 common elements in a modern day #DigitalTransformation &gt;&gt; Infographic via @MikeQuindazzi &gt;&gt; #AI, #IoT, #Robotics, #Bl\u2026                                                                                                                                                                                                      ",1
CA      ,iot              ,RT @AngelHealthTech: The evolution of #IoT\n#Infographics #SmartCity #MachineLearning #UX #technology #AI #bigdata #BigData #SearchEngines #\u2026                                                                                                                                                                                                                   ,0
CA      ,iot              ,RT @brianrandall763: 8 Emerging Technologies in Entertainment &amp; Media [#infographic] via @MikeQuindazzi HT @PetiotEric #AI #AR #VR #Machine\u2026                                                                                                                                                                                                                ,0
CA      ,iot              ,Yanni knows the only right answer to the Yanny-Laurel debate - CNET: #BigData #MachineLearning #AI #IoT MT\u2026 https://t.co/auXKvAscqy                                                                                                                                                                                                                             ,0
CA      ,iot              ,RT @maciejkranz: Thank you for a great day #IoTWorld #IoT #IIoT https://t.co/bRn8LCwfep                                                                                                                                                                                                                                                                              ,1
CA      ,iot              ,RT @jeffbarr: #AWS IoT 1-Click - Use Simple Devices to Trigger Lambda Functions - https://t.co/k3i6nFlDK3 https://t.co/Xoj5qZwsmx                                                                                                                                                                                                                                    ,1
CA      ,iot              ,"RT @MikeQuindazzi: 54 different #ElectricVehicles! including 25 #battery electric (#ev), 26 plug-in #hybrids (#phev) and 3 #fuelcell vehicl\u2026                                                                                                                                                                                                                  ",0
CA      ,iot              ,RT @MikeQuindazzi: #China leveraging #automation and #robotics to replace millions of #workers with #machines @MikeQuindazzi #ai #robotics\u2026                                                                                                                                                                                                                     ,0
CA      ,iot              ,RT @MotorcycleTwitt: Yanny vs. Laurel illusion: Why we hear different words - CNET: #BigData #MachineLearning #AI #IoT HT @motorcycletwitt\u2026                                                                                                                                                                                                                     ,0
CA      ,iot              ,RT @brianrandall763: 8 Emerging Technologies in Entertainment &amp; Media [#infographic] via @MikeQuindazzi HT @PetiotEric #AI #AR #VR #Machine\u2026                                                                                                                                                                                                                ,0
CA      ,iot              ,RT @myDevices_IoT: #MyDevices and @senraco are partnering together to enable LoRaWAN adoption in India! Read more here: https://t.co/IWIQBX\u2026                                                                                                                                                                                                                    ,0
CA      ,iot              ,RT @Bill_IoT: The company that helps police track phones was reportedly hacked: #BigData #MachineLearning #AI #IoT MT: @MikeQuindazzi https\u2026                                                                                                                                                                                                                    ,1
CA      ,iot              ,Yanny vs. Laurel illusion: Why we hear different words - CNET: #BigData #MachineLearning #AI #IoT HT\u2026 https://t.co/fyvW92Lekl                                                                                                                                                                                                                                   ,0
CA      ,iot              ,RT @gp_pulipaka: Managing Storage for IoT Data at the Enterprise Edge. #BigData #MachineLearning #DataScience #AI #IoT #Cloud #CloudComputi\u2026                                                                                                                                                                                                                    ,0
CA      ,iot              ,RT @BotAutomation: Top 20 reasons #startups fail [#infographic] | @cb_insights via @MikeQuindazzi \n\n#software #saas #biotech #healthtech #a\u2026                                                                                                                                                                                                                  ,0
CA      ,iot              ,"RT @PavoIoT: Buh bye #Consensus2018 in NYC, hello #IoTWorld in #SantaClara! #IoT #AgTech #blockchain #ICO https://t.co/Vz8RAFOClS                                                                                                                                                                                                                                  ",0
CA      ,iot              ,"RT @MikeFeibus: 802.11ax #WiFi standard is not about the number on the box. It's about capacity and efficiency, @Qualcomm's Shravan Surinen\u2026                                                                                                                                                                                                                  ",0
CA      ,iot              ,"RT @MikeQuindazzi: Cafe X develops $25,000 #robotic barista - pouring 120 cups of coffee per hour @MikeQuindazzi #AI #Robots #Robotics #IoT\u2026                                                                                                                                                                                                                  ",0
CA      ,iot              ,RT @ImChrisKidd: Arlo's smart security light helps ward off nighttime intruders. #SmartHome #IoT https://t.co/45v488oAmi                                                                                                                                                                                                                                             ,0
CA      ,iot              ,RT @MikeQuindazzi: A new way to control your #AugmentedReality world! &gt;&gt; @MikeQuindazzi &gt;&gt; #AR #VR #MR #Tech #Wearables #WearableTech #IoT\u2026                                                                                                                                                                                                         ,1
CA      ,iot              ,FortiGuard Labs unveiled another Mirai variant dubbed Wicked which ensnares IoT devices using a bunch of embedded e\u2026 https://t.co/0vCYQV8h6D                                                                                                                                                                                                                    ,1
CA      ,iot              ,RT @MikeQuindazzi: A new way to control your #AugmentedReality world! &gt;&gt; @MikeQuindazzi &gt;&gt; #AR #VR #MR #Tech #Wearables #WearableTech #IoT\u2026                                                                                                                                                                                                         ,0
CA      ,iot              ,"RT @Lily_Startups: The #futureofwork includes #EmergingTech, new #jobs and #augmented intelligence! &gt;&gt; @salesforce via @MikeQuindazzi &gt;&gt; #A\u2026                                                                                                                                                                                                      ",1
CA      ,iot              ,RT @Azure: Optimize security best practices by dividing your #IoT security architecture into zones. @docsmsft is here to show you how: http\u2026                                                                                                                                                                                                                    ,1
