    ,Location,Technology       ,Tweet                                                                                                                                                                          ,Sentiment_Score
57  ,TX      ,iot              ,"RT @MikeQuindazzi: 16 common elements in a modern day #DigitalTransformation &gt;&gt; Infographic via @MikeQuindazzi &gt;&gt; #AI, #IoT, #Robotics, #Bl\u2026"                ,0
58  ,TX      ,iot              ,RT @AngelHealthTech: The evolution of #IoT\n#Infographics #SmartCity #MachineLearning #UX #technology #AI #bigdata #BigData #SearchEngines #\u2026                             ,0
59  ,TX      ,iot              ,RT @brianrandall763: 8 Emerging Technologies in Entertainment &amp; Media [#infographic] via @MikeQuindazzi HT @PetiotEric #AI #AR #VR #Machine\u2026                          ,0
60  ,TX      ,iot              ,RT @softwebchicago: Let\u2019s see how #IoT and #blockchain works in the real world - https://t.co/vTZV6Sq0kI https://t.co/sVA0aNqyb1                                          ,1
61  ,TX      ,iot              ,RT @maciejkranz: Thank you for a great day #IoTWorld #IoT #IIoT https://t.co/bRn8LCwfep                                                                                        ,1
62  ,TX      ,iot              ,"RT @MikeQuindazzi: 54 different #ElectricVehicles! including 25 #battery electric (#ev), 26 plug-in #hybrids (#phev) and 3 #fuelcell vehicl\u2026"                            ,0
63  ,TX      ,iot              ,RT @MikeQuindazzi: #China leveraging #automation and #robotics to replace millions of #workers with #machines @MikeQuindazzi #ai #robotics\u2026                               ,0
64  ,TX      ,iot              ,RT @brianrandall763: 8 Emerging Technologies in Entertainment &amp; Media [#infographic] via @MikeQuindazzi HT @PetiotEric #AI #AR #VR #Machine\u2026                          ,0
65  ,TX      ,iot              ,RT @myDevices_IoT: #MyDevices and @senraco are partnering together to enable LoRaWAN adoption in India! Read more here: https://t.co/IWIQBX\u2026                              ,1
66  ,TX      ,iot              ,Proud to be part of the IoT Observatory.\nhttps://t.co/zoMNf2NWmr https://t.co/xdvHGG05Yn                                                                                      ,1
67  ,TX      ,iot              ,RT @Bill_IoT: The company that helps police track phones was reportedly hacked: #BigData #MachineLearning #AI #IoT MT: @MikeQuindazzi https\u2026                              ,0
68  ,TX      ,iot              ,RT @gp_pulipaka: Managing Storage for IoT Data at the Enterprise Edge. #BigData #MachineLearning #DataScience #AI #IoT #Cloud #CloudComputi\u2026                              ,0
69  ,TX      ,iot              ,RT @brianrandall763: 8 Emerging Technologies in Entertainment &amp; Media [#infographic] via @MikeQuindazzi HT @PetiotEric #AI #AR #VR #Machine\u2026                          ,0
70  ,TX      ,iot              ,RT @Softnet_Search: Tesla crash involving Autopilot prompts federal investigation: #machinelearning #ai #iot MT @Mikequindazzi https://t.co\u2026                              ,0
71  ,TX      ,iot              ,IOT Device Management Market Is Witness To Boost Rapidly Due To Increased Adoption Of Smart Connected Devices By 20\u2026 https://t.co/opUlYsO6lY                              ,0
72  ,TX      ,iot              ,IOT Device Management Market Is Witness To Boost Rapidly Due To Increased Adoption Of Smart Connected Devices By 20\u2026 https://t.co/Ivhjs4GhRe                              ,0
73  ,TX      ,iot              ,IOT Device Management Market Is Witness To Boost Rapidly Due To Increased Adoption Of Smart Connected Devices By 20\u2026 https://t.co/oq4rmp51m7                              ,0
74  ,TX      ,iot              ,2018-05-17T04:22:05.612Z security deckcam vmotion                                                                                                                              ,0
75  ,TX      ,iot              ,"RT @MikeFeibus: 802.11ax #WiFi standard is not about the number on the box. It's about capacity and efficiency, @Qualcomm's Shravan Surinen\u2026"                            ,0
76  ,TX      ,iot              ,"RT @MikeQuindazzi: 54 different #ElectricVehicles! including 25 #battery electric (#ev), 26 plug-in #hybrids (#phev) and 3 #fuelcell vehicl\u2026"                            ,0
77  ,TX      ,iot              ,RT @MikeQuindazzi: Top industries hiring Chief #Digital Officers (#CDO) &gt;&gt; @stratandbiz  via @MikeQuindazzi &gt;&gt; #insurance #insuretech #medi\u2026                  ,1
78  ,TX      ,iot              ,RT @MikeQuindazzi: #NSSolutions and #docomo showcase their #5G #Humanoid assistant #Robot &gt;&gt; @MikeQuindazzi &gt;&gt; #Robotics #IoT #Mobile https\u2026                  ,0
